Start,End,Project,Sponsor,Amount
2022,2023,Multi-population mortality modelling and pension risk management, Bolsa Esp Exter - CNPq, BRL "150,015.92"
2022,2025,Construction and risk management of financial portfolios, JCNE - FAPERJ,BRL "86,400.00"
"    ","    ",in high dimensions using approximated inference,
2022,2022,Topic modelling in news articles: an example from Brazil,MAPS Visiting Fellowship - UCL, GBP "2,000.00"
2021,2023,Construction and risk management of financial portfolios, APQ - FAPERJ,BRL "14,000.00"
"    ","    ",in high dimensions using approximated inference,
2020,2022,Encrypted Machine Learning: Applications in Actuarial, ARC - FAPERJ,BRL "12,000.00"
"    ","    ",Sciences and Beyond
2019,2021,A novel framework for semi-automatic text classification,FGV EMAp,BRL "461,500.00"
2019,2019,2nd Financial Mathematics Team Challenge - Brazil,FGV EMAp,BRL "88,660.00"
2018,2018,1st Financial Mathematics Team Challenge - Brazil,FGV EMAp,BRL "25,879.00"
2018,2018,1st Financial Mathematics Team Challenge - Brazil,PAEP - CAPES,BRL "31,630.00"
2017,2019,Improvements of the Brazilian economic uncertainty index,FGV Applied Research Grant,BRL "288,400.00"
2017,2018,Development of a price index for car insurance in Brazil,FGV Applied Research Grant, BRL "230,800.00"
2015,2015,"SMC in Paris, travel grant",,EUR "400.00"
2014,2014,Australia Awards Endeavour Fellowship,Australian Government,AUD "18,500.00"
2012,2015,Top-up travel bursary,CSIRO,AUD "4,000.00"
2012,2016,PhD scholarship,CNPq
2008,2010,Masters scholarship,CAPES
2006,2007,Scientific Initiation scholarship,CNPq
